brand,product_name,var,starting_price
NAGHEDI,NAGHEDI Medium Soho Envelope Crossbody Bag,"{'cashmere', 'onyx'}",265.0
Kate Spade New York,Kate Spade New York duo pebble leather crossbody bag,"{'cinder grey', 'dried thyme', 'black', 'burnt sage', 'cashew milk'}",298.0
Kate Spade New York,Kate Spade New York liv pebble leather convertible shoulder bag,"{'black', 'cinder grey', 'warm acorn'}",298.0
The Sak,The Sak Tess Shoulder Bag Leather,"{'dark silver', 'black', 'indigo'}",129.0
MODA LUXE,MODA LUXE Isadora Bucket Bag,"{'ice blue', 'natural', 'ivory', 'chocolate', 'black'}",100.0
TOTEME,TOTEME T-Lock Curve Shoulder Bag,"{'black', 'camel'}",1390.0
rag & bone,rag & bone Alix Suede Tote,"{'clay', 'garnet'}",478.0
Olga Berg,Olga Berg Everly Handwoven Faux Leather Frame Clutch,"{'white', 'silver', 'natural', 'gold', 'tangerine', 'black'}",139.0
Mansur Gavriel,Mansur Gavriel Candy Baguette Leather Shoulder Bag,"{'warm grey', 'chocolate', 'black', 'oxblood'}",595.0
Kate Spade New York,Kate Spade New York large deco pebble leather satchel,"{'blackberry jam', 'timeless taupe', 'black', 'burnt sage'}",478.0
Clare V.,Clare V. Petit Moyen Woven Messenger Bag,"{'natural woven checker', 'fern mist woven checker', 'green apple multi woven checke', 'army rattan', 'snapdragon woven checker', 'cream woven checker'}",385.0
MZ Wallace,MZ Wallace Small Metro Quilted Nylon Camera Bag,"{'dawn', 'bright cherry', 'buff', 'black', 'magnet'}",185.0
